Title,ArtistName,Rank,Weeks,isNew
lean on,major lazer & dj snake featuring mo,5,21,0
good for you,selena gomez featuring a$ap rocky,6,10,0
679,fetty wap featuring remy boyz,7,9,0
locked away,r. city featuring adam levine,8,6,0
trap queen,fetty wap,9,32,0
fight song,rachel platten,10,20,0
my way,fetty wap featuring monty,11,8,0
photograph,ed sheeran,12,16,0
where are u now,skrillex & diplo with justin bieber,13,26,0
drag me down,one direction,14,4,0
see you again,wiz khalifa featuring charlie puth,15,25,0
shut up and dance,walk the moon,16,42,0
cool for the summer,demi lovato,17,9,0
bad blood,taylor swift featuring kendrick lamar,18,18,0
uptown funk!,mark ronson featuring bruno mars,19,42,0
stitches,shawn mendes,20,14,0
worth it,fifth harmony featuring kid ink,21,28,0
uma thurman,fall out boy,22,21,0
hit the quan,ilovememphis,23,2,0
want to want me,jason derulo,24,25,0
classic man,jidenna featuring roman gianarthur,25,17,0
marvin gaye,charlie puth featuring meghan trainor,26,11,0
honey  i'm good.,andy grammer,27,27,0
house party,sam hunt,28,13,0
hotline bling,drake,29,4,0
flex (ooh ooh ooh),rich homie quan,30,19,0
all eyes on you,meek mill featuring chris brown & nicki minaj,31,10,0
post to be,omarion featuring chris brown & jhene aiko,32,34,0
sugar,maroon 5,33,33,0
thinking out loud,ed sheeran,34,47,0
hey mama,david guetta featuring nicki minaj  bebe rexha & afrojack,35,23,0
renegades,x ambassadors,36,20,0
earned it (fifty shades of grey),the weeknd,37,36,0
again,fetty wap,38,3,0
back to back,drake,39,4,0
crash and burn,thomas rhett,40,16,0
buy me a boat,chris janson,41,14,0
john cougar  john deere  john 3:16,keith urban,42,12,0
smoke break,carrie underwood,43,1,1
planez,jeremih featuring j. cole,44,14,0
b**** better have my money,rihanna,45,23,0
i don't like it  i love it,flo rida featuring robin thicke & verdine white,46,10,0
she's kinda hot,5 seconds of summer,47,6,0
love me like you do,ellie goulding,48,34,0
this could be us,rae sremmurd,49,12,0
kick the dust up,luke bryan,50,15,0
like i'm gonna lose you,meghan trainor featuring john legend,51,8,0
love myself,hailee steinfeld,52,3,0
strip it down,luke bryan,53,4,0
lose my mind,brett eldredge,54,12,0
hell of a night,dustin lynch,55,13,0
how deep is your love,calvin harris & disciples,56,6,0
ex's & oh's,elle king,57,8,0
nasty freestyle,t-wayne,58,20,0
where ya at,future featuring drake,59,6,0
save it for a rainy day,kenny chesney,60,6,0
