Date,ArtistName,Rank,Weeks,isNew
2018-12-15,Silk City,28,13,False
2018-12-15,AJR,29,51,False
2018-12-15,Riley Green,30,7,False
2018-12-15,Loud Luxury,31,16,False
2018-12-15,JD McPherson,32,3,False
2018-12-15,Reagan Strange,33,2,False
2018-12-15,The Struts,34,4,False
2018-12-15,YNW Melly,35,14,False
2018-12-15,LP,36,1,True
2018-12-15,Bryce Vine,37,22,False
2018-12-15,Morgan Wallen,38,48,False
2018-12-15,Lali,39,19,False
2018-12-15,Summer Walker,40,8,False
2018-12-15,The Glorious Sons,41,2,False
2018-12-15,Christian Nodal,42,31,False
2018-12-15,City Girls,43,3,False
2018-12-15,Badflower,44,9,False
2018-12-15,NCT 127,45,17,False
2018-12-15,Calboy,46,1,True
2018-12-15,Denzel Curry,47,6,False
2018-12-15,Coca Vango,48,1,True
2018-12-15,MaKenzie Thomas,49,1,True
2018-12-15,Sarah Grace,50,2,False
2018-12-08,lovelytheband,1,37,False
2018-12-08,Mitchell Tenpenny,2,22,False
2018-12-08,Jimmie Allen,3,17,False
2018-12-08,Flipp Dinero,4,13,False
2018-12-08,Lauv,5,65,False
2018-12-08,Dean Lewis,6,12,False
2018-12-08,Louis Tomlinson,7,44,False
2018-12-08,Red Velvet,8,11,False
2018-12-08,Queen Naija,9,38,False
2018-12-08,Yella Beezy,10,26,False
2018-12-08,Sarah Grace,11,1,True
2018-12-08,Jacquees,12,43,False
2018-12-08,Kirk Jay,13,2,False
2018-12-08,Pinkfong,14,10,False
2018-12-08,Lil' Duval,15,18,False
2018-12-08,Jordan Davis,16,60,False
2018-12-08,NCT DREAM,17,7,False
2018-12-08,Pardison Fontaine,18,11,False
2018-12-08,MONSTA X,19,36,False
2018-12-08,Lil Mosey,20,14,False
2018-12-08,Rita Ora,21,22,False
2018-12-08,Ava Max,22,5,False
2018-12-08,Wanna One,23,30,False
2018-12-08,BLACKPINK,24,18,False
2018-12-08,flora cash,25,8,False
2018-12-08,DaniLeigh,26,2,False
2018-12-08,Lali,27,18,False
2018-12-08,Riley Green,28,6,False
2018-12-08,AJR,29,50,False
2018-12-08,Kymberli Joye,30,2,False
2018-12-08,Silk City,31,12,False
2018-12-08,NCT 127,32,16,False
2018-12-08,Morgan Wallen,33,47,False
2018-12-08,Caleb + Kelsey,34,3,False
2018-12-08,YNW Melly,35,13,False
2018-12-08,Loud Luxury,36,15,False
2018-12-08,Small Town Titans,37,2,False
2018-12-08,Manuel Turizo,38,15,False
2018-12-08,Bryce Vine,39,21,False
2018-12-08,Calum Scott,40,40,False
2018-12-08,Summer Walker,41,7,False
2018-12-08,The Glorious Sons,42,1,True
2018-12-08,The Revivalists,43,31,False
2018-12-08,J.I.D,44,2,False
2018-12-08,Badflower,45,8,False
2018-12-08,Joyner Lucas,46,15,False
2018-12-08,JENNIE,47,4,False
2018-12-08,Brian Grilli,48,1,True
2018-12-08,Sebastian Yatra,49,5,False
2018-12-08,Christian Nodal,50,30,False
2018-12-01,NCT 127,1,15,False
2018-12-01,lovelytheband,2,36,False
2018-12-01,Jimmie Allen,3,16,False
2018-12-01,Flipp Dinero,4,12,False
2018-12-01,Lauv,5,64,False
2018-12-01,Mitchell Tenpenny,6,21,False
2018-12-01,Rita Ora,7,21,False
2018-12-01,Dean Lewis,8,11,False
2018-12-01,Louis Tomlinson,9,43,False
2018-12-01,Queen Naija,10,37,False
2018-12-01,Yella Beezy,11,25,False
2018-12-01,Jacquees,12,42,False
2018-12-01,Pinkfong,13,9,False
2018-12-01,AJR,14,49,False
2018-12-01,Lil Mosey,15,13,False
2018-12-01,Lil' Duval,16,17,False
2018-12-01,MONSTA X,17,35,False
2018-12-01,Jordan Davis,18,59,False
2018-12-01,Caleb + Kelsey,19,2,False
2018-12-01,Alan Walker,20,66,False
2018-12-01,Pardison Fontaine,21,10,False
2018-12-01,Red Velvet,22,10,False
2018-12-01,BLACKPINK,23,17,False
2018-12-01,Joyner Lucas,24,14,False
2018-12-01,J.I.D,25,1,True
2018-12-01,Calum Scott,26,39,False
2018-12-01,Lali,27,17,False
2018-12-01,Small Town Titans,28,1,True
2018-12-01,Wanna One,29,29,False
2018-12-01,Kymberli Joye,30,1,True
2018-12-01,flora cash,31,7,False
2018-12-01,Bryce Vine,32,20,False
2018-12-01,YNW Melly,33,12,False
2018-12-01,SHAED,34,1,True
2018-12-01,Kennedy Holmes,35,1,True
2018-12-01,Manuel Turizo,36,14,False
2018-12-01,Riley Green,37,5,False
2018-12-01,Morgan Wallen,38,46,False
2018-12-01,City Girls,39,2,False
2018-12-01,Silk City,40,11,False
2018-12-01,JENNIE,41,3,False
2018-12-01,Loud Luxury,42,14,False
2018-12-01,Summer Walker,43,6,False
2018-12-01,Chevel Shepherd,44,1,True
2018-12-01,Kina Grannis,45,3,False
2018-12-01,The Revivalists,46,30,False
2018-12-01,Raymix,47,31,False
2018-12-01,EXID,48,1,True
2018-12-01,Ava Max,49,4,False
2018-12-01,Keala Settle,50,38,False
2018-11-24,Billie Eilish,1,33,False
2018-11-24,lovelytheband,2,35,False
2018-11-24,NCT 127,3,14,False
2018-11-24,Jimmie Allen,4,15,False
2018-11-24,Lauv,5,63,False
2018-11-24,Flipp Dinero,6,11,False
2018-11-24,Mitchell Tenpenny,7,20,False
2018-11-24,Yella Beezy,8,24,False
2018-11-24,Dean Lewis,9,10,False
2018-11-24,Queen Naija,10,36,False
2018-11-24,Pinkfong,11,8,False
2018-11-24,Nita Strauss,12,1,True
2018-11-24,Lil Mosey,13,12,False
2018-11-24,City Girls,14,1,True
2018-11-24,Conan Gray,15,1,True
2018-11-24,AJR,16,48,False
2018-11-24,Lil' Duval,17,16,False
2018-11-24,BAEKHYUN,18,6,False
2018-11-24,Wanna One,19,28,False
2018-11-24,Jordan Davis,20,58,False
2018-11-24,Alan Walker,21,65,False
2018-11-24,Louis Tomlinson,22,42,False
2018-11-24,Pardison Fontaine,23,9,False
2018-11-24,Jacquees,24,41,False
2018-11-24,MONSTA X,25,34,False
2018-11-24,BLACKPINK,26,16,False
2018-11-24,Joyner Lucas,27,13,False
2018-11-24,Bryce Vine,28,19,False
2018-11-24,JENNIE,29,2,False
2018-11-24,Silk City,30,10,False
2018-11-24,The Revivalists,31,29,False
2018-11-24,NCT,32,28,False
2018-11-24,Raymix,33,30,False
2018-11-24,Manuel Turizo,34,13,False
2018-11-24,Rita Ora,35,20,False
2018-11-24,YNW Melly,36,11,False
2018-11-24,Loud Luxury,37,13,False
2018-11-24,Summer Walker,38,5,False
2018-11-24,DaniLeigh,39,1,True
2018-11-24,flora cash,40,6,False
2018-11-24,Morgan Wallen,41,45,False
2018-11-24,Keala Settle,42,37,False
2018-11-24,Riley Green,43,4,False
2018-11-24,Kirk Jay,44,1,True
2018-11-24,Lennon Stella,45,1,True
2018-11-24,Ava Max,46,3,False
2018-11-24,Calum Scott,47,38,False
2018-11-24,Denzel Curry,48,5,False
2018-11-24,Reagan Strange,49,1,True
2018-11-24,Sabrina Carpenter,50,25,False
2018-11-17,Billie Eilish,1,32,False
2018-11-17,lovelytheband,2,34,False
2018-11-17,Jimmie Allen,3,14,False
2018-11-17,Lauv,4,62,False
2018-11-17,Mitchell Tenpenny,5,19,False
2018-11-17,Flipp Dinero,6,10,False
2018-11-17,The Revivalists,7,28,False
2018-11-17,Dean Lewis,8,9,False
2018-11-17,Yella Beezy,9,23,False
2018-11-17,Queen Naija,10,35,False
2018-11-17,Architects UK,11,1,True
2018-11-17,Sabrina Carpenter,12,24,False
2018-11-17,Pinkfong,13,7,False
2018-11-17,Lil Mosey,14,11,False
2018-11-17,Lil' Duval,15,15,False
2018-11-17,Wanna One,16,27,False
2018-11-17,I Dont Know How But They Found Me,17,1,True
2018-11-17,Bryce Vine,18,18,False
2018-11-17,Jordan Davis,19,57,False
2018-11-17,Louis Tomlinson,20,41,False
2018-11-17,Alan Walker,21,64,False
2018-11-17,NCT 127,22,13,False
2018-11-17,MONSTA X,23,33,False
2018-11-17,Pardison Fontaine,24,8,False
2018-11-17,BLACKPINK,25,15,False
2018-11-17,Jacquees,26,40,False
2018-11-17,AJR,27,47,False
2018-11-17,Boygenius,28,1,True
2018-11-17,Joyner Lucas,29,12,False
2018-11-17,Manuel Turizo,30,12,False
2018-11-17,Jeff Goldblum,31,1,True
2018-11-17,JENNIE,32,1,True
2018-11-17,Calum Scott,33,37,False
2018-11-17,Silk City,34,9,False
2018-11-17,Rita Ora,35,19,False
2018-11-17,Summer Walker,36,4,False
2018-11-17,YNW Melly,37,10,False
2018-11-17,Loud Luxury,38,12,False
2018-11-17,Larkin Poe,39,1,True
2018-11-17,The Struts,40,3,False
2018-11-17,Laura Jane Grace & The Devouring Mothers,41,1,True
2018-11-17,KDA,42,2,False
2018-11-17,flora cash,43,5,False
2018-11-17,NCT,44,27,False
2018-11-17,Cory Asbury,45,43,False
2018-11-17,Riley Green,46,3,False
2018-11-17,Ava Max,47,2,False
2018-11-17,La Dispute,48,1,True
2018-11-17,Madison Beer,49,5,False
2018-11-17,Red Dragon Cartel,50,1,True
2018-11-10,Billie Eilish,1,31,False
2018-11-10,lovelytheband,2,33,False
2018-11-10,Jimmie Allen,3,13,False
2018-11-10,Lauv,4,61,False
2018-11-10,Mitchell Tenpenny,5,18,False
2018-11-10,Flipp Dinero,6,9,False
2018-11-10,Yella Beezy,7,22,False
2018-11-10,Queen Naija,8,34,False
2018-11-10,Lil' Duval,9,14,False
2018-11-10,Bryce Vine,10,17,False
2018-11-10,Dean Lewis,11,8,False
2018-11-10,Kris Wu,12,7,False
2018-11-10,Louis Tomlinson,13,40,False
2018-11-10,Pinkfong,14,6,False
2018-11-10,Lil Mosey,15,10,False
2018-11-10,Maggie Rogers,16,1,True
2018-11-10,Wanna One,17,26,False
2018-11-10,Jordan Davis,18,56,False
2018-11-10,Adam Calhoun,19,2,False
2018-11-10,Alan Walker,20,63,False
2018-11-10,Pardison Fontaine,21,7,False
2018-11-10,Joyner Lucas,22,11,False
2018-11-10,AJR,23,46,False
2018-11-10,Jacquees,24,39,False
2018-11-10,Morgan Wallen,25,44,False
