Artist,Track,Year,Month,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Followers,Popularity,Target
My Type,saint motel,2014,08,0.596,0.897,10,-2.94,1,0.0462,0.0641,5.24e-05,0.0628,0.578,118.0,329866,66,0
Velitas,darell,2019,07,0.819,0.596,2,-7.009,1,0.318,0.225,1.19e-06,0.138,0.622,165.951,735375,89,0
Toast,koffee,2019,03,0.906,0.638,10,-7.917,0,0.256,0.0342,1.7e-05,0.0725,0.789,99.959,119485,66,0
Change Ya Life,haiti babii,2018,12,0.696,0.399,4,-8.673,0,0.0369,0.0224,0,0.0747,0.364,98.004,11709,64,0
The Race,tay-k,2017,12,0.766,0.606,9,-6.064,1,0.456,0.00266,0,0.166,0.352,160.223,1640872,70,1
Blow My Mind,davido,2019,07,0.52,0.644,7,-7.09,0,0.0783,0.129,0.000235,0.107,0.6,103.646,242827,72,0
Stacy,quinn xcii,2019,06,0.761,0.551,8,-7.14,1,0.037,0.0889,0,0.0971,0.478,104.935,391192,78,0
Belleville,knocked loose,2019,08,0.271,0.961,5,-2.848,1,0.195,8.63e-05,2.78e-06,0.16,0.181,89.63,110717,60,0
Trap,saint jhn,2019,08,0.792,0.839,0,-2.887,1,0.0429,0.0862,0,0.194,0.354,116.985,189593,76,0
Sojourner (feat. J. Cole),rapsody,2018,10,0.773,0.622,1,-9.249,1,0.297,0.00447,0,0.287,0.474,81.194,126561,62,0
Kiss Somebody,morgan evans,2018,10,0.57,0.684,6,-7.054,1,0.0465,0.136,0,0.205,0.531,89.012,69815,64,1
Let Me Down Slowly,alec benjamin,2018,11,0.652,0.557,1,-5.714,0,0.0318,0.74,0,0.124,0.483,150.073,958477,81,0
CLOUT COBAIN | CLOUT CO13A1N,denzel curry,2018,07,0.794,0.448,10,-4.771,0,0.0539,0.591,0,0.109,0.588,120.055,1037984,77,0
Work This Time,king gizzard and the lizard wizard,2014,03,0.526,0.489,1,-6.249,0,0.22,0.153,0.103,0.135,0.53,113.913,405588,68,0
My Type,saweetie,2019,03,0.899,0.811,2,-6.294,1,0.258,0.000677,0,0.0672,0.587,105.038,468724,76,1
Bad Boy,red velvet,2018,01,0.714,0.736,2,-3.801,1,0.0457,0.191,0,0.0553,0.814,149.985,2698369,75,0
