Artist,Track,Year,Month,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Followers,Popularity,Ranks,Weeks,isNew,Target
tati,6ix9ine,2018,11,0.779,0.767,11,-5.462,0,0.258,0.00214,0,0.102,0.523,91.981,4304147,83,50,3,0,1
idgaf,dua lipa,2017,06,0.836,0.544,7,-5.975,1,0.0943,0.0403,0,0.0824,0.51,97.028,13912445,85,51,22,0,1
sad!,xxxtentacion,2018,03,0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,15967406,92,52,15,0,1
woman  amen,dierks bentley,2018,06,0.484,0.804,5,-5.889,1,0.0912,0.000837,9.29e-06,0.17,0.391,119.838,1975722,73,53,10,0,1
call out my name,the weeknd,2018,03,0.461,0.593,1,-4.954,1,0.0356,0.17,0,0.307,0.175,134.17,17508909,89,54,11,0,1
done for me,charlie puth,2018,05,0.856,0.632,6,-3.692,0,0.074,0.193,0,0.0688,0.697,112.009,8300825,83,55,6,0,1
sit next to me,foster the people,2017,07,0.638,0.738,6,-4.976,0,0.0292,0.117,0.000384,0.689,0.657,97.021,2705900,77,56,13,0,1
simple,florida georgia line,2019,02,0.362,0.882,3,-3.717,1,0.0973,0.0791,0,0.15,0.864,199.811,3277796,82,57,2,0,1
ball for me,post malone,2018,04,0.792,0.56,9,-4.125,1,0.225,0.493,0,0.0849,0.505,134.044,18914903,100,59,7,0,1
ghost town,kanye west,2018,06,0.573,0.545,7,-4.247,0,0.0288,0.0969,0,0.329,0.297,83.378,10601206,95,60,2,0,1
you make it easy,jason aldean,2018,01,0.375,0.574,7,-5.305,1,0.0315,0.143,0,0.11,0.406,132.025,3387757,79,61,20,0,1
freeee,kids see ghosts,2018,06,0.334,0.81,9,-4.855,0,0.0632,0.00457,0,0.158,0.306,151.643,376135,69,62,1,1,1
mercy,brett young,2017,02,0.638,0.367,4,-7.906,1,0.0266,0.84,0,0.0999,0.219,71.957,432230,74,63,6,0,1
dura,daddy yankee,2018,01,0.791,0.848,1,-3.456,1,0.0506,0.183,0,0.409,0.828,95.0,14337202,94,64,19,0,1
kod,j. cole,2018,04,0.831,0.782,0,-6.274,1,0.15,0.21,0,0.113,0.199,141.869,9503827,89,65,8,0,1
fire,kids see ghosts,2018,06,0.709,0.751,6,-3.801,1,0.16,0.472,4.71e-06,0.182,0.37,104.999,376135,69,67,1,1,1
esskeetit,lil pump,2018,04,0.932,0.506,11,-7.755,1,0.161,0.022,0,0.0933,0.696,139.974,6104890,80,68,9,0,1
cudi montage,kids see ghosts,2018,06,0.729,0.504,8,-6.784,0,0.0321,0.401,1.44e-06,0.121,0.305,110.011,376135,69,69,1,1,1
praise the lord,a$ap rocky,2018,05,0.85,0.569,5,-8.152,0,0.136,0.0609,0.0816,0.1,0.294,80.02,6066025,87,70,3,0,1
fake love,bts,2018,05,0.557,0.719,2,-4.515,0,0.0372,0.00267,0,0.306,0.344,77.501,14251733,91,71,4,0,1
japan,famous dex,2018,04,0.733,0.678,6,-7.771,1,0.438,0.121,0,0.344,0.841,175.985,1701054,72,72,12,0,1
kids see ghosts,kids see ghosts,2018,06,0.841,0.682,2,-7.007,1,0.0458,0.113,9.65e-05,0.131,0.338,94.985,376135,69,73,1,1,1
alone,halsey,2017,06,0.602,0.724,2,-3.469,0,0.0352,0.0184,0,0.606,0.451,100.064,8132887,90,74,9,0,1
powerglide,rae sremmurd,2018,05,0.713,0.831,1,-4.75,0,0.15,0.0168,0,0.118,0.584,173.948,5299275,79,75,15,0,1
i lived it,blake shelton,2017,11,0.557,0.571,10,-8.106,1,0.0281,0.476,0.00114,0.101,0.392,80.981,4533843,76,76,15,0,1
overdose,youngboy never broke again,2018,06,0.809,0.845,10,-5.843,0,0.352,0.224,0,0.638,0.67,90.015,3328656,89,77,7,0,1
lovely,billie eilish,2018,04,0.351,0.296,4,-10.109,0,0.0333,0.934,0,0.095,0.12,115.284,15164226,94,78,3,0,1
youngblood,5 seconds of summer,2018,06,0.596,0.854,7,-5.114,0,0.463,0.0169,0,0.124,0.152,120.274,5338379,86,79,2,0,1
zombie,bad wolves,2018,01,0.448,0.826,2,-3.244,0,0.0319,0.00756,0,0.117,0.19,77.093,278422,69,82,14,0,1
me niego,reik,2019,05,0.777,0.782,0,-4.435,0,0.0907,0.0505,0,0.64,0.773,94.023,3305151,85,83,2,0,1
lose it,kane brown,2019,07,0.544,0.854,4,-4.968,0,0.0289,0.00245,1.2e-06,0.249,0.436,91.966,1931483,82,84,1,1,1
violent crimes,kanye west,2018,06,0.669,0.419,1,-6.724,0,0.522,0.376,0,0.187,0.0397,109.813,10601206,95,85,2,0,1
i was jack,jake owen,2019,03,0.603,0.866,6,-3.541,1,0.0443,0.0819,0,0.0521,0.543,94.057,1248674,71,86,3,0,1
sativa,jhene aiko,2017,09,0.741,0.61,6,-7.34,0,0.0512,0.315,0,0.534,0.72,125.99,2574344,80,87,14,0,1
rich sex,nicki minaj,2018,08,0.879,0.635,9,-5.098,1,0.258,0.0517,0,0.0786,0.568,146.972,16399430,90,88,1,1,1
life goes on,lil baby,2018,05,0.716,0.541,1,-7.909,1,0.149,0.0021,0,0.115,0.387,139.978,2863873,90,89,4,0,1
i know you,lil skies,2018,05,0.773,0.602,10,-6.384,1,0.108,0.194,0.000443,0.141,0.442,74.896,3263155,83,90,1,1,1
el farsante,ozuna,2018,01,0.737,0.742,6,-2.875,1,0.0441,0.218,0,0.316,0.386,119.966,19742002,96,91,20,0,1
beautiful crazy,luke combs,2018,06,0.552,0.402,11,-7.431,1,0.0262,0.676,0,0.0928,0.382,103.313,1833533,83,93,4,0,1
babe,sugarland,2018,06,0.535,0.777,4,-3.292,1,0.207,0.0187,1.62e-06,0.136,0.664,171.72,1046326,63,95,2,0,1
drip,cardi b,2018,04,0.968,0.589,11,-7.808,1,0.255,0.0511,0,0.0731,0.268,129.993,9774706,91,96,10,0,1
big bank,yg,2018,08,0.745,0.346,1,-7.709,1,0.331,0.00552,0,0.0881,0.112,203.911,1929673,85,97,3,0,1
singles you up,jordan davis,2018,03,0.491,0.907,7,-3.594,1,0.0481,0.0491,0,0.242,0.631,199.943,168063,69,98,19,0,1
take back home girl,chris lane,2018,07,0.493,0.796,11,-3.971,1,0.0691,0.39,0,0.0957,0.644,159.988,271112,70,99,3,0,1
bad and boujee,migos,2017,01,0.927,0.665,11,-5.313,1,0.244,0.061,0,0.123,0.175,127.076,9525378,85,1,11,0,1
shape of you,ed sheeran,2017,03,0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,53364183,96,2,3,0,1
closer,the chainsmokers,2016,07,0.748,0.524,8,-5.599,1,0.0338,0.414,0,0.111,0.661,95.01,14288910,89,3,26,0,1
black beatles,rae sremmurd,2016,08,0.794,0.632,0,-6.163,1,0.0649,0.142,0,0.128,0.355,145.926,5299275,79,6,20,0,1
starboy,the weeknd,2016,11,0.678,0.588,7,-7.015,1,0.276,0.141,6.35e-06,0.137,0.486,186.005,17508909,89,8,19,0,1
