Artist,Track,Year,Month,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Followers,Target
nana mouskouri,only you,1997,01,0.379,0.385,2.0,-10.482,1.0,0.0337,0.647,3.26e-06,0.112,0.183,137.885,49031,0
bon jovi,wildflower,2005,01,0.436,0.635,7.0,-5.848,1.0,0.0278,0.0234,0.0,0.18,0.356,92.692,11391,0
the shamen,heal ,2010,03,0.572,0.911,5.0,-7.272,1.0,0.0325,0.00087,0.491,0.0823,0.543,121.299,7046,0
midwest product,motivator,2003,10,0.718,0.691,10.0,-9.118,1.0,0.0408,0.00999,0.877,0.1,0.349,140.998,17711,0
britney spears,someday ,2005,09,0.523,0.561,0.0,-9.444,0.0,0.0275,0.732,2.55e-05,0.126,0.176,135.972,153452,0
city high,sista,2001,01,0.648,0.653,8.0,-8.364,0.0,0.0814,0.0616,0.0,0.0821,0.637,80.008,11851,0
amy winehouse,valerie,2007,01,0.739,0.365,5.0,-5.731,0.0,0.0415,0.751,1.65e-06,0.161,0.699,96.095,1391,0
gorillaz,november has come,2005,05,0.702,0.567,7.0,-8.561,1.0,0.239,0.0815,2.75e-05,0.0864,0.667,84.153,72403,0
linkin park,given up ,2007,05,0.655,0.885,7.0,-4.116,1.0,0.0438,0.00117,0.000473,0.0448,0.938,100.088,1368,0
bryan ferry,ja nun hons pris,2002,01,0.488,0.216,7.0,-15.521,0.0,0.0704,0.771,0.0,0.465,0.562,103.748,199799,0
martin sexton,things you do to me,2002,04,0.748,0.771,1.0,-9.164,1.0,0.118,0.0433,0.000127,0.975,0.642,103.219,182214,0
dave matthews band,tripping billies,1996,04,0.569,0.932,11.0,-5.659,0.0,0.0388,0.000496,0.0342,0.259,0.944,120.858,13361,0
the pineapple thief,run a mile,2006,01,0.563,0.825,0.0,-8.047,1.0,0.0423,0.00207,0.0748,0.0614,0.0762,140.034,1042940,0
the jeff healey band,it could all get blown away,1992,11,0.503,0.738,7.0,-6.643,0.0,0.034,0.00428,0.000109,0.197,0.635,94.447,523870,0
anthony cruz,make it up,2016,04,0.441,0.706,2.0,-5.926,0.0,0.182,0.538,0.0,0.168,0.721,78.251,4981,0
weezer,dope nose,2002,05,0.416,0.724,10.0,-4.87,1.0,0.0512,0.000336,0.0788,0.247,0.819,127.357,194514,0
